"","Papers","Partners","Journals","Citations","Years"
"20","Three-dimensional imaging of single molecules solvated in pores of poly (acrylamide) gels","RM Dickson, DJ Norris, YL Tzeng, WE Moerner","Science 274 (5289), 966-968, 1996","454","1996"
"21","Fluorescence spectroscopy and spectral diffusion of single impurity molecules in a crystal","WP Ambrose, WE Moerner","Nature 349 (6306), 225, 1991","419","1991"
"22","Detection and spectroscopy of single pentacene molecules in a p-terphenyl crystal by means of fluorescence excitation","WP Ambrose, T Basché, WE Moerner","The Journal of chemical physics 95 (10), 7150-7163, 1991","405","1991"
"23","Photorefractive polymers","WE Moerner, A Grunnet-Jepsen, CL Thompson","Annual Review of Materials Science 27 (1), 585-623, 1997","403","1997"
"24","Toward nanometer-scale optical photolithography: utilizing the near-field of bowtie optical nanoantennas","A Sundaramurthy, PJ Schuck, NR Conley, DP Fromm, GS Kino, ...","Nano letters 6 (3), 355-360, 2006","397","2006"
"25","Photon antibunching in single CdSe/ZnS quantum dot fluorescence","B Lounis, HA Bechtel, D Gerion, P Alivisatos, WE Moerner","Chemical Physics Letters 329 (5-6), 399-404, 2000","384","2000"
"26","Fluorescence correlation spectroscopy reveals fast optical excitation-driven intramolecular dynamics of yellow fluorescent proteins","P Schwille, S Kummer, AA Heikal, WE Moerner, WW Webb","Proceedings of the National Academy of Sciences 97 (1), 151-156, 2000","359","2000"
"27","Exploring the chemical enhancement for surface-enhanced Raman scattering with Au bowtie nanoantennas","DP Fromm, A Sundaramurthy, A Kinkhabwala, PJ Schuck, GS Kino, ...","The Journal of chemical physics 124 (6), 061101, 2006","352","2006"
"28","Super-resolution imaging in live Caulobacter crescentus cells using photoswitchable EYFP","JS Biteen, MA Thompson, NK Tselentis, GR Bowman, L Shapiro, ...","Nature methods 5 (11), 947, 2008","335","2008"
"29","Magnetic resonance of a single molecular spin","J Köhler, J Disselhorst, M Donckers, EJJ Groenen, J Schmidt, ...","Nature 363 (6426), 242, 1993","311*","1993"
"30","Field enhancement and gap-dependent resonance in a system of two opposing tip-to-tip Au nanotriangles","A Sundaramurthy, KB Crozier, GS Kino, DP Fromm, PJ Schuck, ...","Physical Review B 72 (16), 165409, 2005","301","2005"
"31","A spindle-like apparatus guides bacterial chromosome segregation","JL Ptacin, SF Lee, EC Garner, E Toro, M Eckart, LR Comolli, WE Moerner, ...","Nature cell biology 12 (8), 791, 2010","298","2010"
"32","Optical spectroscopy of single impurity molecules in solids","WE Moerner, T Basche","Angewandte Chemie International Edition in English 32 (4), 457-476, 1993","279","1993"
"33","Examining nanoenvironments in solids on the scale of a single, isolated impurity molecule","WE Moerner","Science 265 (5168), 46-53, 1994","277","1994"
"34","Translational diffusion of individual class II MHC membrane proteinsin cells","M Vrljic, SY Nishimura, S Brasselet, WE Moerner, HM McConnell","Biophysical journal 83 (5), 2681-2692, 2002","264","2002"
"35","A polymeric protein anchors the chromosomal origin/ParB complex at a bacterial cell pole","GR Bowman, LR Comolli, J Zhu, M Eckart, M Koenig, KH Downing, ...","Cell 134 (6), 945-955, 2008","245","2008"
"36","Suppressing Brownian motion of individual biomolecules in solution","AE Cohen, WE Moerner","Proceedings of the National Academy of Sciences 103 (12), 4362-4365, 2006","242","2006"
"37","Single molecules of the bacterial actin MreB undergo directed treadmilling motion in Caulobactercrescentus","SY Kim, Z Gitai, A Kinkhabwala, L Shapiro, WE Moerner","Proceedings of the National Academy of Sciences 103 (29), 10929-10934, 2006","232","2006"
"38","Method for trapping and manipulating nanoscale objects in solution","AE Cohen, WE Moerner","Applied physics letters 86 (9), 093109, 2005","223","2005"
"39","High-speed photorefractive polymer composites","D Wright, MA Diaz-Garcia, JD Casperson, M DeClue, WE Moerner, ...","Applied physics letters 73 (11), 1490-1492, 1998","223","1998"
"40","Optical probing of single molecules of terrylene in a shpol'kii matrix: A two-state single-molecule switch","WE Moerner, T Plakhotnik, T Irngartinger, M Croci, V Palm, UP Wild","The Journal of Physical Chemistry 98 (30), 7382-7389, 1994","205","1994"
"41","Simultaneous imaging of individual molecules aligned both parallel and perpendicular to the optic axis","RM Dickson, DJ Norris, WE Moerner","Physical review letters 81 (24), 5322, 1998","202","1998"
"42","Single-molecule fluorescence spectroscopy and microscopy of biomolecular motors","EJG Peterman, H Sosa, WE Moerner","Annu. Rev. Phys. Chem. 55, 79-96, 2004","185","2004"
"43","A photoactivatable push- pull fluorophore for single-molecule imaging in live cells","SJ Lord, NR Conley, HD Lee, R Samuel, N Liu, RJ Twieg, WE Moerner","Journal of the American Chemical Society 130 (29), 9204-9205, 2008","184","2008"
"44","Optical modification of a single impurity molecule in a solid","T Basché, WE Moerner","Nature 355 (6358), 335, 1992","180","1992"
"45","The fluorescence dynamics of single molecules of green fluorescent protein","EJG Peterman, S Brasselet, WE Moerner","The Journal of Physical Chemistry A 103 (49), 10553-10560, 1999","178","1999"
"46","High performance photorefractive polymer with improved stability","A Grunnet-Jepsen, CL Thompson, RJ Twieg, WE Moerner","Applied physics letters 70 (12), 1515-1517, 1997","170","1997"
"47","ADP-induced rocking of the kinesin motor domain revealed by single-molecule fluorescence polarization microscopy","H Sosa, EJG Peterman, WE Moerner, LSB Goldstein","Nature Structural & Molecular Biology 8 (6), 540, 2001","169","2001"
"48","Exploring bacterial cell biology with single-molecule tracking and super-resolution imaging","A Gahlmann, WE Moerner","Nature Reviews Microbiology 12 (1), 9-22, 2014","165","2014"
"49","Single-molecule spectroscopy and imaging of biomolecules in living cells","SJ Lord, HD Lee, WE Moerner","Analytical chemistry 82 (6), 2192-2203, 2010","160","2010"
"50","Superresolution imaging of targeted proteins in fixed and living cells using photoactivatable organic fluorophores","HD Lee, SJ Lord, S Iwanaga, K Zhan, H Xie, JC Williams, H Wang, ...","Journal of the American Chemical Society 132 (43), 15099-15101, 2010","157","2010"
"51","Localizing and tracking single nanoscale emitters in three dimensions with high spatiotemporal resolution using a double-helix point spread function","MA Thompson, MD Lew, M Badieirostami, WE Moerner","Nano letters 10 (1), 211-218, 2009","157","2009"
"52","Net two-beam-coupling gain in a polymeric photorefractive material","M Donckers, SM Silence, CA Walsh, F Hache, DM Burland, WE Moerner, ...","Landmark Papers On Photorefractive Nonlinear Optics, 435-437, 1995","155","1995"
"53","Near-field optical spectroscopy of individual molecules in solids","WE Moerner, T Plakhotnik, T Irngartinger, UP Wild, DW Pohl, B Hecht","Physical review letters 73 (20), 2764, 1994","149","1994"
"54","Conference on lasers and electro-optics","D Kopf, KJ Weingarten, LR Brovelli, M Kamp, U Keller","1995 OSA Technical Digest Series 15, CWM2, 1995","145*","1995"
"55","Three-dimensional tracking of single mRNA particles in Saccharomyces cerevisiae using a double-helix point spread function","MA Thompson, JM Casolari, M Badieirostami, PO Brown, WE Moerner","Proceedings of the National Academy of Sciences 107 (42), 17864-17871, 2010","140","2010"
"56","Simultaneous, accurate measurement of the 3D position and orientation of single molecules","MP Backlund, MD Lew, AS Backer, SJ Sahl, G Grover, A Agrawal, ...","Proceedings of the National Academy of Sciences 109 (47), 19087-19092, 2012","139","2012"
"57","Visualization of the movement of single histidine kinase molecules in live Caulobacter cells","J Deich, EM Judd, HH McAdams, WE Moerner","Proceedings of the National Academy of Sciences 101 (45), 15921-15926, 2004","139","2004"
"58","Structure and dynamics in solids as probed by optical spectroscopy","JL Skinner, WE Moerner","The Journal of Physical Chemistry 100 (31), 13251-13262, 1996","136","1996"
"59","Spectral analysis of strongly enhanced visible light transmission through single C-shaped nanoapertures","JA Matteo, DP Fromm, Y Yuen, PJ Schuck, WE Moerner, L Hesselink","Applied Physics Letters 85 (4), 648-650, 2004","135","2004"
"60","Three-dimensional localization of single molecules for super-resolution imaging and single-particle tracking","A von Diezmann, Y Shechtman, WE Moerner","Chemical reviews 117 (11), 7244-7275, 2017","134","2017"
"61","Watching conformational-and photodynamics of single fluorescent proteins in solution","RH Goldsmith, WE Moerner","Nature chemistry 2 (3), 179, 2010","134","2010"
"62","Two-beam coupling measurements of grating phase in a photorefractive polymer","CA Walsh, WE Moerner","JOSA B 9 (9), 1642-1647, 1992","134","1992"
"63","Controlling Brownian motion of single protein molecules and single fluorophores in aqueous buffer","AE Cohen, WE Moerner","Optics express 16 (10), 6941-6956, 2008","133","2008"
"64","Photorefractive Properties of Poly(N-vinyl carbazole)-Based Composites for High-Speed Applications","MA Diaz-Garcia, D Wright, JD Casperson, B Smith, E Glazer, WE Moerner, ...","Chemistry of Materials 11 (7), 1784-1791, 1999","133","1999"
"65","Super-resolution fluorescence imaging with single molecules","SJ Sahl, WE Moerner","Current opinion in structural biology 23 (5), 778-787, 2013","131","2013"
"66","Spectroscopic determination of trap density in C60-sensitized photorefractive polymers","A Grunnet-Jepsen, D Wright, B Smith, MS Bratcher, MS DeClue, JS Siegel, ...","Chemical physics letters 291 (5-6), 553-561, 1998","129","1998"
"67","Integrated semiconductor vertical-cavity surface-emitting lasers and PIN photodetectors for biomedical fluorescence sensing","E Thrush, O Levi, W Ha, G Carey, LJ Cook, J Deich, SJ Smith, ...","IEEE Journal of Quantum Electronics 40 (5), 491-498, 2004","128","2004"
"68","Spontaneous oscillation and self-pumped phase conjugation in a photorefractive polymer optical amplifier","A Grunnet-Jepsen, CL Thompson, WE Moerner","Science 277 (5325), 549-552, 1997","128","1997"
"69","Optimal point spread function design for 3D imaging","Y Shechtman, SJ Sahl, AS Backer, WE Moerner","Physical review letters 113 (13), 133902, 2014","126","2014"
"70","Optical spectra and kinetics of single impurity molecules in a polymer: spectral diffusion and persistent spectral hole burning","T Basché, WP Ambrose, WE Moerner","JOSA B 9 (5), 829-836, 1992","124","1992"
"71","C60 sensitization of a photorefractive polymer","SM Silence, CA Walsh, JC Scott, WE Moerner","Applied physics letters 61 (25), 2967-2969, 1992","123","1992"
"72","Three-dimensional superresolution colocalization of intracellular protein superstructures and the cell surface in live Caulobacter crescentus","MD Lew, SF Lee, JL Ptacin, MK Lee, RJ Twieg, L Shapiro, WE Moerner","Proceedings of the National Academy of Sciences 108 (46), E1102-E1110, 2011","122","2011"
"73","Single-molecule spectroscopy, imaging, and photocontrol: foundations for super-resolution microscopy (nobel lecture)","WE Moerner","Angewandte Chemie International Edition 54 (28), 8067-8093, 2015","121","2015"
"74","Single molecule spectroscopy: maximum emission rate and saturation intensity","T Plakhotnik, WE Moerner, V Palm, UP Wild","Optics Communications 114 (1-2), 83-88, 1995","118","1995"
"75","Cholesterol depletion suppresses the translational diffusion of class II major histocompatibility complex proteins in the plasma membrane","M Vrljic, SY Nishimura, WE Moerner, HM McConnell","Biophysical journal 88 (1), 334-347, 2005","117","2005"
"76","Novel fluorophores for single-molecule imaging","KA Willets, O Ostroverkhova, M He, RJ Twieg, WE Moerner","Journal of the American Chemical Society 125 (5), 1174-1175, 2003","116","2003"
"77","High-resolution optical spectroscopy of single molecules in solids","WE Moerner","Accounts of chemical research 29 (12), 563-571, 1996","116","1996"
"78","Single-molecule fluorescence resonant energy transfer in calcium concentration dependent cameleon","S Brasselet, EJG Peterman, A Miyawaki, WE Moerner","The Journal of Physical Chemistry B 104 (15), 3676-3682, 2000","113","2000"
"79","Three-dimensional localization precision of the double-helix point spread function versus astigmatism and biplane","M Badieirostami, MD Lew, MA Thompson, WE Moerner","Applied physics letters 97 (16), 161103, 2010","111","2010"
"80","Optical detection and probing of single dopant molecules of pentacene in a p-terphenyl host crystal by means of absorption spectroscopy","L Kador, DE Horne, WE Moerner","Journal of Physical Chemistry 94 (4), 1237-1248, 1990","111","1990"
"81","Photophysics of DsRed, a Red Fluorescent Protein, from the Ensemble to the Single-Molecule Level","B Lounis, J Deich, FI Rosell, SG Boxer, WE Moerner","The Journal of Physical Chemistry B 105 (21), 5048-5054, 2001","110","2001"
"82","Cholesterol depletion induces solid-like regions in the plasma membrane","SY Nishimura, M Vrljic, LO Klein, HM McConnell, WE Moerner","Biophysical journal 90 (3), 927-938, 2006","109","2006"
"83","Molecular Electronics for Frequency Domain Optical Storage. Persistent Spectral Hole-Burning. A Review.","WE Moerner","IBM RESEARCH LAB SAN JOSE CA, 1985","109","1985"
"84","Microscopy beyond the diffraction limit using actively controlled single molecules","WE Moerner","Journal of microscopy 246 (3), 213-220, 2012","108","2012"
"85","Mechanism of photon-gated persistent spectral hole burning in metal-tetrabenzoporphyrin/halomethane systems: donor-acceptor electron transfer","TP Carter, C Bräuchle, VY Lee, M Manavi, WE Moerner","Journal of Physical Chemistry 91 (15), 3998-4004, 1987","108","1987"
"86","Those blinking single molecules","WE Moerner","Science 277 (5329), 1059-1060, 1997","104","1997"
"87","Fluorescence Behavior of Single-Molecule pH-Sensors","S Brasselet, WE Moerner","Single Molecules 1 (1), 17-23, 2000","103","2000"
"88","Precise three-dimensional scan-free multiple-particle tracking over large axial ranges with tetrapod point spread functions","Y Shechtman, LE Weiss, AS Backer, SJ Sahl, WE Moerner","Nano letters 15 (6), 4194-4199, 2015","101","2015"
"89","Poly (silane)-based high-mobility photorefractive polymers","SM Silence, JC Scott, F Hache, EJ Ginsburg, PK Jenkner, RD Miller, ...","JOSA B 10 (12), 2306-2312, 1993","101","1993"
"90","Extending microscopic resolution with single-molecule imaging and active control","MA Thompson, MD Lew, WE Moerner","Annual review of biophysics 41, 321-342, 2012","100","2012"
"91","Three-Dimensional Super-Resolution Imaging of the Midplane Protein FtsZ in Live Caulobacter crescentus Cells Using Astigmatism","JS Biteen, ED Goley, L Shapiro, WE Moerner","ChemPhysChem 13 (4), 1007-1012, 2012","100","2012"
"92","DCDHF fluorophores for single-molecule imaging in cells","SJ Lord, NR Conley, HD Lee, SY Nishimura, AK Pomerantz, KA Willets, ...","ChemPhysChem 10 (1), 55-65, 2009","98","2009"
"93","Systematics of two-wave mixing in a photorefractive polymer","A Grunnet-Jepsen, CL Thompson, WE Moerner","JOSA B 15 (2), 905-913, 1998","96","1998"
"94","Monolithically integrated semiconductor fluorescence sensor for microfluidic applications","E Thrush, O Levi, LJ Cook, J Deich, A Kurtz, SJ Smith, WE Moerner, ...","Sensors and Actuators B: Chemical 105 (2), 393-399, 2005","93","2005"
"95","A Selenium Analogue of Firefly D-Luciferin with Red-Shifted Bioluminescence Emission","NR Conley, A Dragulescu-Andrasi, J Rao, WE Moerner","Angewandte Chemie International Edition 51 (14), 3350-3353, 2012","92","2012"
"96","Principal-components analysis of shape fluctuations of single DNA molecules","AE Cohen, WE Moerner","Proceedings of the National Academy of Sciences 104 (31), 12622-12627, 2007","92","2007"
"97","Conformational dynamics of single G protein-coupled receptors in solution","S Bockenhauer, A Fu¨rstenberg, XJ Yao, BK Kobilka, WE Moerner","The journal of physical chemistry B 115 (45), 13328-13338, 2011","91","2011"
"98","Photorefractive polymers based on dual-function dopants","SM Silence, JC Scott, JJ Stankus, WE Moerner, CR Moylan, GC Bjorklund, ...","The Journal of Physical Chemistry 99 (12), 4096-4105, 1995","91","1995"
"99","Vibronic spectroscopy of individual molecules in solids","AB Myers, P Tchenio, MZ Zgierski, WE Moerner","The Journal of Physical Chemistry 98 (41), 10377-10390, 1994","91","1994"
"100","Can single-photon processes provide useful materials for frequency-domain optical storage?","WE Moerner, MD Levenson","JOSA B 2 (6), 915-924, 1985","91","1985"
"101","Statistical fine structure of inhomogeneously broadened absorption lines","WE Moerner, TP Carter","Physical review letters 59 (23), 2705, 1987","89","1987"
"102","Fluorescence bleaching reveals asymmetric compartment formation prior to cell division in Caulobacter","EM Judd, KR Ryan, WE Moerner, L Shapiro, HH McAdams","Proceedings of the National Academy of Sciences 100 (14), 8235-8240, 2003","88","2003"
"103","Holographic digital data storage in a photorefractive polymer","PM Lundquist, C Poga, RG DeVoe, Y Jia, WE Moerner, MP Bernal, ...","Optics letters 21 (12), 890-892, 1996","88","1996"
"104","Photoconductivity studies of photorefractive polymers","JC Scott, LT Pautmeier, WE Moerner","JOSA B 9 (11), 2059-2064, 1992","88","1992"
"105","Rotational mobility of single molecules affects localization accuracy in super-resolution fluorescence microscopy","MD Lew, MP Backlund, WE Moerner","Nano letters 13 (9), 3967-3972, 2013","85","2013"
"106","Corkscrew point spread function for far-field three-dimensional nanoscale localization of pointlike objects","MD Lew, SF Lee, M Badieirostami, WE Moerner","Optics letters 36 (2), 202-204, 2011","84","2011"
"107","Super-resolution imaging of the nucleoid-associated protein HU in Caulobacter crescentus","SF Lee, MA Thompson, MA Schwartz, L Shapiro, WE Moerner","Biophysical journal 100 (7), L31-L33, 2011","83","2011"
"108","Nonlinear optical chromophores as nanoscale emitters for single-molecule spectroscopy","KA Willets, SY Nishimura, PJ Schuck, RJ Twieg, WE Moerner","Accounts of chemical research 38 (7), 549-556, 2005","83","2005"
"109","Two-color, photon-gated spectral hole-burning in an organic material","HWH Lee, M Gehrtz, EE Marinero, WE Moerner","Chemical physics letters 118 (6), 611-616, 1985","83","1985"
"110","Homodyne detection of ultrasonic surface displacements using two-wave mixing in photorefractive polymers","MB Klein, GD Bacher, A Grunnet-Jepsen, D Wright, WE Moerner","Optics communications 162 (1-3), 79-84, 1999","80","1999"
"111","Single-molecule motions enable direct visualization of biomolecular interactions in solution","Q Wang, WE Moerner","Nature methods 11 (5), 555, 2014","79","2014"
"112","Photophysical properties of acene DCDHF fluorophores: Long-wavelength single-molecule emitters designed for cellular imaging","SJ Lord, Z Lu, H Wang, KA Willets, PJ Schuck, HD Lee, SY Nishimura, ...","The Journal of Physical Chemistry A 111 (37), 8934-8941, 2007","79","2007"
"113","Vibrational analysis of the dispersed fluorescence from single molecules of terrylene in polyethylene","P Tchénio, AB Myers, WE Moerner","Chemical physics letters 213 (3-4), 325-332, 1993","79","1993"
"114","Quantitative multicolor subdiffraction imaging of bacterial protein ultrastructures in three dimensions","A Gahlmann, JL Ptacin, G Grover, S Quirin, ARS von Diezmann, MK Lee, ...","Nano letters 13 (3), 987-993, 2013","78","2013"
"115","Experimental and theoretical investigations of environmentally sensitive single-molecule fluorophores","KA Willets, PR Callis, WE Moerner","The Journal of Physical Chemistry B 108 (29), 10465-10473, 2004","78","2004"
"116","Optical studies of single terrylene molecules in polyethylene","P Tchénio, AB Myers, WE Moerner","Journal of luminescence 56 (1-6), 1-14, 1993","77","1993"
"117","Cy3-Cy5 covalent heterodimers for single-molecule photoswitching","NR Conley, JS Biteen, WE Moerner","The Journal of Physical Chemistry B 112 (38), 11878-11880, 2008","76","2008"
"118","Gold bowtie nanoantennas for surface-enhanced Raman scattering under controlled electrochemical potential","F Jäckel, AA Kinkhabwala, WE Moerner","Chemical Physics Letters 446 (4-6), 339-343, 2007","76","2007"
"119","Recent advances in understanding and development of photorefractive polymers and glasses","O Ostroverkhova, D Wright, U Gubler, WE Moerner, M He, ...","Advanced Functional Materials 12 (9), 621-629, 2002","76","2002"
"120","Photochromic fluorescent proteins and optical memory storage devices based on fluorescent proteins","RY Tsien, R Heim, AB Cubitt, RM Dickson, WE Moerner","US Patent 6,046,925, 2000","76","2000"
"121","Subsecond grating growth in a photorefractive polymer","SM Silence, CA Walsh, JC Scott, TJ Matray, RJ Twieg, F Hache, ...","Optics letters 17 (16), 1107-1109, 1992","76","1992"
"122","Single-molecule optical spectroscopy of autofluorescent proteins","WE Moerner","The Journal of chemical physics 117 (24), 10925-10937, 2002","75","2002"
"123","Extending single-molecule microscopy using optical Fourier processing","AS Backer, WE Moerner","The Journal of Physical Chemistry B 118 (28), 8313-8329, 2014","74","2014"
"124","Single-molecule mountains yield nanoscale cell images","WE Moerner","Nature methods 3 (10), 781, 2006","74","2006"
"125","A Comparison of Through-the-Objective Total Internal Reflection Microscopy and Epifluorescence Microscopy for Single-Molecule Fluorescence Imaging","MF Paige, EJ Bjerneld, WE Moerner","Single Molecules 2 (3), 191-201, 2001","74","2001"
"126","Excitation of a single molecule on the surface of a spherical microcavity","DJ Norris, M Kuwata-Gonokami, WE Moerner","Applied physics letters 71 (3), 297-299, 1997","74","1997"
"127","Measurement of quantum efficiencies for persistent spectral hole burning","WE Moerner, M Gehrtz, AL Huston","The Journal of Physical Chemistry 88 (25), 6459-6460, 1984","74","1984"
"128","STED microscopy with optimized labeling density reveals 9-fold arrangement of a centriole protein","L Lau, YL Lee, SJ Sahl, T Stearns, WE Moerner","Biophysical journal 102 (12), 2926-2935, 2012","73","2012"
"129","Long-wavelength analogue of PRODAN: synthesis and properties of Anthradan, a fluorophore with a 2, 6-Donor- Acceptor Anthracene Structure","Z Lu, SJ Lord, H Wang, WE Moerner, RJ Twieg","The Journal of organic chemistry 71 (26), 9651-9657, 2006","71","2006"
"130","Image amplification and novelty filtering with a photorefractive polymer","A Goonesekera, D Wright, WE Moerner","Applied Physics Letters 76 (23), 3358-3360, 2000","71","2000"
"131","Small-molecule labeling of live cell surfaces for three-dimensional super-resolution microscopy","MK Lee, P Rai, J Williams, RJ Twieg, WE Moerner","Journal of the American Chemical Society 136 (40), 14003-14006, 2014","68","2014"
"132","Azido push- pull fluorogens photoactivate to produce bright fluorescent labels","SJ Lord, HD Lee, R Samuel, R Weber, N Liu, NR Conley, MA Thompson, ...","The Journal of Physical Chemistry B 114 (45), 14157-14167, 2009","68","2009"
"133","Single-photon sources based on single molecules in solids","WE Moerner","New Journal of Physics 6 (1), 88, 2004","67","2004"
"134","Comment on'single pentacene molecules detected by fluorescence excitation in a p-terphenyl crystal'","WE Moerner, WP Ambrose","IBM ALMADEN RESEARCH CENTER SAN JOSE CA, 1990","67","1990"
"135","The Role of Molecular Dipole Orientation in Single-Molecule Fluorescence Microscopy and Implications for Super-Resolution Imaging","MP Backlund, MD Lew, AS Backer, SJ Sahl, WE Moerner","ChemPhysChem 15 (4), 587-599, 2014","66","2014"
"136","An adaptive anti-Brownian electrokinetic trap with real-time information on single-molecule diffusivity and mobility","Q Wang, WE Moerner","ACS nano 5 (7), 5792-5799, 2011","66","2011"
"137","Polarized fluorescence microscopy of individual and many kinesin motors bound to axonemal microtubules","EJG Peterman, H Sosa, LSB Goldstein, WE Moerner","Biophysical Journal 81 (5), 2851-2863, 2001","66","2001"
"138","Beyond the bottleneck: submicrosecond hole burning in phthalocyanine","M Romagnoli, WE Moerner, FM Schellenberg, MD Levenson, ...","JOSA B 1 (3), 341-348, 1984","66","1984"
"139","Amplified scattering in a high-gain photorefractive polymer","A Grunnet-Jepsen, CL Thompson, RJ Twieg, WE Moerner","JOSA B 15 (2), 901-904, 1998","65","1998"
"140","Bacterial scaffold directs pole-specific centromere segregation","JL Ptacin, A Gahlmann, GR Bowman, AM Perez, ARS von Diezmann, ...","Proceedings of the National Academy of Sciences 111 (19), E2046-E2055, 2014","64","2014"
"141","Removing orientation-induced localization biases in single-molecule microscopy using a broadband metasurface mask","MP Backlund, A Arbabi, PN Petrov, E Arbabi, S Saurabh, A Faraon, ...","Nature photonics 10 (7), 459, 2016","62","2016"
"142","Sensing cooperativity in ATP hydrolysis for single multisubunit enzymes in solution","Y Jiang, NR Douglas, NR Conley, EJ Miller, J Frydman, WE Moerner","Proceedings of the National Academy of Sciences 108 (41), 16962-16967, 2011","62","2011"
"143","Single-molecule motions of oligoarginine transporter conjugates on the plasma membrane of Chinese hamster ovary cells","HL Lee, EA Dubikovskaya, H Hwang, AN Semyonov, H Wang, LR Jones, ...","Journal of the American Chemical Society 130 (29), 9364-9370, 2008","62","2008"
"144","Distinct constrictive processes, separated in time and space, divide Caulobacter inner and outer membranes","EM Judd, LR Comolli, JC Chen, KH Downing, WE Moerner, HH McAdams","Journal of bacteriology 187 (20), 6874-6882, 2005","62","2005"
"145","Photorefractive materials","SP Ducharme, WE Moerner, JC Scott, RJ Twieg","US Patent 5,064,264, 1991","62*","1991"
"146","Finding a single molecule in a haystack","WE Moerner, L Kador","Analytical Chemistry 61 (21), 1217A-1223A, 1989","62","1989"
"147","Multicolour localization microscopy by point-spread-function engineering","Y Shechtman, LE Weiss, AS Backer, MY Lee, WE Moerner","Nature photonics 10 (9), 590, 2016","61","2016"
"148","Photorefractive behavior in a polymer?","S Ducharme, JC Scott, RJ Twieg, WE Moerner","Physics Review Letters 66, 1846, 1991","61","1991"
"149","Persistent nonphotochemical spectral hole dynamics for an infrared vibrational mode in alkali halide crystals","WE Moerner, AR Chraplyvy, AJ Sievers, RH Silsbee","Physical Review B 28 (12), 7244, 1983","61","1983"
"150","Cellular inclusion bodies of mutant huntingtin exon 1 obscure small fibrillar aggregate species","SJ Sahl, LE Weiss, WC Duim, J Frydman, WE Moerner","Scientific reports 2, 895, 2012","60","2012"
"151","Analytical tools to distinguish the effects of localization error, confinement, and medium elasticity on the velocity autocorrelation function","SC Weber, MA Thompson, WE Moerner, AJ Spakowitz, JA Theriot","Biophysical journal 102 (11), 2443-2450, 2012","60","2012"
"152","High-performance photorefractive polymer composite with 2-dicyanomethylen-3-cyano-2, 5-dihydrofuran chromophore","D Wright, U Gubler, Y Roh, WE Moerner, M He, RJ Twieg","Applied Physics Letters 79 (26), 4274-4276, 2001","60","2001"
