"","Papers","Partners","Journals","Citations","Years"
"38","Protein localization in electron micrographs using fluorescence nanoscopy","S Watanabe, A Punge, G Hollopeter, KI Willig, RJ Hobson, MW Davis, ...","Nature methods 8 (1), 80, 2010","297","2010"
"39","Concepts for nanoscale resolution in fluorescence microscopy","SW Hell, M Dyba, S Jakobs","Current opinion in neurobiology 14 (5), 599-609, 2004","295","2004"
"40","Ca 2+ fluorescence imaging with pico-and femtosecond two-photon excitation: signal and photodamage","HJ Koester, D Baur, R Uhl, SW Hell","Biophysical journal 77 (4), 2226-2236, 1999","291","1999"
"41","Breaking Abbe’s diffraction resolution limit in fluorescence microscopy with stimulated emission depletion beams of various shapes","TA Klar, E Engel, SW Hell","Physical Review E 64 (6), 066613, 2001","287","2001"
"42","Structure and mechanism of the reversible photoswitch of a fluorescent protein","M Andresen, MC Wahl, AC Stiel, F Gräter, LV Schäfer, S Trowitzsch, ...","Proceedings of the National Academy of Sciences 102 (37), 13070-13074, 2005","274","2005"
"43","STED microscopy with a supercontinuum laser source","D Wildanger, E Rittweger, L Kastrup, SW Hell","Optics express 16 (13), 9614-9621, 2008","273","2008"
"44","Photoswitchable fluorescent proteins enable monochromatic multilabel imaging and dual color fluorescence nanoscopy","M Andresen, AC Stiel, J Fölling, D Wenzel, A Schönle, A Egner, ...","Nature biotechnology 26 (9), 1035, 2008","271","2008"
"45","Photochromic rhodamines provide nanoscopy with optical sectioning","J Fölling, V Belov, R Kunetsky, R Medda, A Schönle, A Egner, C Eggeling, ...","Angewandte Chemie International Edition 46 (33), 6266-6270, 2007","258","2007"
"46","Nanometer resolution imaging and tracking of fluorescent molecules with minimal photon fluxes","F Balzarotti, Y Eilers, KC Gwosch, AH Gynnå, V Westphal, FD Stefani, ...","Science 355 (6325), 606-612, 2017","256","2017"
"47","Structural basis for reversible photoswitching in Dronpa","M Andresen, AC Stiel, S Trowitzsch, G Weber, C Eggeling, MC Wahl, ...","Proceedings of the National Academy of Sciences 104 (32), 13005-13009, 2007","256","2007"
"48","Two-color far-field fluorescence nanoscopy","G Donnert, J Keller, CA Wurm, SO Rizzoli, V Westphal, A Schönle, R Jahn, ...","Biophysical journal 92 (8), L67-L69, 2007","250","2007"
"49","Tuning of synapse number, structure and function in the cochlea","AC Meyer, T Frank, D Khimich, G Hoch, D Riedel, NM Chapochnikov, ...","Nature neuroscience 12 (4), 444, 2009","248","2009"
"50","Fluorescence nanoscopy in cell biology","SJ Sahl, SW Hell, S Jakobs","Nature Reviews Molecular Cell Biology 18 (11), 685, 2017","241","2017"
"51","STED nanoscopy reveals molecular details of cholesterol-and cytoskeleton-modulated lipid interactions in living cells","V Mueller, C Ringemann, A Honigmann, G Schwarzmann, R Medda, ...","Biophysical journal 101 (7), 1651-1660, 2011","234","2011"
"52","1.8 Å bright-state structure of the reversibly switchable fluorescent protein Dronpa guides the generation of fast switching variants","AC Stiel, S Trowitzsch, G Weber, M Andresen, C Eggeling, SW Hell, ...","Biochemical Journal 402 (1), 35-42, 2007","228","2007"
"53","STED nanoscopy of actin dynamics in synapses deep inside living brain slices","NT Urban, KI Willig, SW Hell, UV Nägerl","Biophysical journal 101 (5), 1277-1284, 2011","223","2011"
"54","A compact STED microscope providing 3D nanoscale resolution","D Wildanger, R Medda, L Kastrup, SW Hell","Journal of microscopy 236 (1), 35-43, 2009","223","2009"
"55","2, 2'-Thiodiethanol: A new water soluble mounting medium for high resolution optical microscopy","T Staudt, MC Lang, R Medda, J Engelhardt, SW Hell","Microscopy research and technique 70 (1), 1-9, 2007","223","2007"
"56","A reversibly photoswitchable GFP-like protein with fluorescence excitation decoupled from switching","T Brakemann, AC Stiel, G Weber, M Andresen, I Testa, T Grotjohann, ...","Nature biotechnology 29 (10), 942, 2011","221","2011"
"57","Fluorescence fluctuation spectroscopy in subdiffraction focal volumes","L Kastrup, H Blom, C Eggeling, SW Hell","Physical review letters 94 (17), 178104, 2005","221","2005"
"58","Three-photon excitation in fluorescence microscopy","SW Hell, K Bahlmann, M Schrader, A Soini, HM Malak, I Gryczynski, ...","Journal of Biomedical Optics 1 (1), 71-75, 1996","213","1996"
"59","Heating by absorption in the focus of an objective lens","A Schönle, SW Hell","Optics letters 23 (5), 325-327, 1998","212","1998"
"60","Red-Emitting Rhodamine Dyes for Fluorescence Microscopy and Nanoscopy","K Kolmakov, VN Belov, J Bierwagen, C Ringemann, V Müller, C Eggeling, ...","Chemistry-A European Journal 16 (1), 158-166, 2010","210","2010"
"61","Nanoscopy with more than 100,000'doughnuts'","A Chmyrov, J Keller, T Grotjohann, M Ratz, E d'Este, S Jakobs, ...","Nature methods 10 (8), 737, 2013","209","2013"
"62","EGFP and DsRed expressing cultures of Escherichia coli imaged by confocal, two-photon and fluorescence lifetime microscopy","S Jakobs, V Subramaniam, A Schönle, TM Jovin, SW Hell","FEBS letters 479 (3), 131-135, 2000","209","2000"
"63","Coaligned dual-channel STED nanoscopy and molecular diffusion analysis at 20 nm resolution","F Göttfert, CA Wurm, V Mueller, S Berning, VC Cordes, A Honigmann, ...","Biophysical journal 105 (1), L01-L03, 2013","208","2013"
"64","The 2015 super-resolution microscopy roadmap","SW Hell, SJ Sahl, M Bates, X Zhuang, R Heintzmann, MJ Booth, ...","Journal of Physics D: Applied Physics 48 (44), 443001, 2015","206","2015"
"65","KDEL-cargo regulates interactions between proteins involved in COPI vesicle traffic: measurements in living cells using FRET","I Majoul, M Straub, SW Hell, R Duden, HD Soeling","Developmental cell 1 (1), 139-153, 2001","206","2001"
"66","Simultaneous multi-lifetime multi-color STED imaging for colocalization analyses","J Bückers, D Wildanger, G Vicidomini, L Kastrup, SW Hell","Optics express 19 (4), 3130-3143, 2011","202","2011"
"67","Strategy for far-field optical imaging and writing without diffraction limit","SW Hell","Physics Letters A 326 (1-2), 140-145, 2004","202","2004"
"68","Two-photon excitation STED microscopy","G Moneron, SW Hell","Optics express 17 (17), 14567-14573, 2009","201","2009"
"69","Maturation-dependent HIV-1 surface protein redistribution revealed by fluorescence nanoscopy","J Chojnacki, T Staudt, B Glass, P Bingen, J Engelhardt, M Anders, ...","Science 338 (6106), 524-528, 2012","196","2012"
"70","Multicolor far-field fluorescence nanoscopy through isolated detection of distinct molecular species","M Bossi, J Fo¨lling, VN Belov, VP Boyarskiy, R Medda, A Egner, ...","Nano letters 8 (8), 2463-2468, 2008","196","2008"
"71","STED nanoscopy reveals the ubiquity of subcortical cytoskeleton periodicity in living neurons","E D’Este, D Kamin, F Göttfert, A El-Hady, SW Hell","Cell reports 10 (8), 1246-1251, 2015","191","2015"
"72","Scanning STED-FCS reveals spatiotemporal heterogeneity of lipid interaction in the plasma membrane of living cells","A Honigmann, V Mueller, H Ta, A Schoenle, E Sezgin, SW Hell, ...","Nature communications 5, 5412, 2014","191","2014"
"73","The SNARE motif is essential for the formation of syntaxin clusters in the plasma membrane","JJ Sieber, KI Willig, R Heintzmann, SW Hell, T Lang","Biophysical journal 90 (8), 2843-2851, 2006","191","2006"
"74","Flotillin-dependent clustering of the amyloid precursor protein regulates its endocytosis and amyloidogenic processing in neurons","A Schneider, L Rajendran, M Honsho, M Gralle, G Donnert, F Wouters, ...","Journal of Neuroscience 28 (11), 2874-2882, 2008","190","2008"
"75","RIM-binding protein, a central part of the active zone, is essential for neurotransmitter release","KSY Liu, M Siebert, S Mertel, E Knoche, S Wegener, C Wichmann, ...","Science 334 (6062), 1565-1569, 2011","189","2011"
"76","Imaging and writing at the nanoscale with focused visible light through saturable optical transitions","SW Hell, S Jakobs, L Kastrup","Applied Physics A 77 (7), 859-860, 2003","182","2003"
"77","Three-dimensional nanoscopy of colloidal crystals","B Harke, CK Ullal, J Keller, SW Hell","Nano letters 8 (5), 1309-1313, 2008","181","2008"
"78","Confocal microscopy with an increased detection aperture: type-B 4Pi confocal microscopy","SW Hell, EHK Stelzer, S Lindek, C Cremer","Optics letters 19 (3), 222-224, 1994","178","1994"
"79","Fast molecular tracking maps nanoscale dynamics of plasma membrane lipids","SJ Sahl, M Leutenegger, M Hilbert, SW Hell, C Eggeling","Proceedings of the National Academy of Sciences 107 (15), 6829-6834, 2010","173","2010"
"80","Recycling, clustering, and endocytosis jointly maintain PIN auxin carrier polarity at the plasma membrane","J Kleine-Vehn, K Wabnik, A Martiniere, L Langowski, K Willig, ...","Molecular systems biology 7 (1), 540, 2011","171","2011"
"81","Synthesis and characterization of photoswitchable fluorescent silica nanoparticles","J Fölling, S Polyakova, V Belov, A van Blaaderen, ML Bossi, SW Hell","small 4 (1), 134-142, 2008","169","2008"
"82","Reversible red fluorescent molecular switches","M Bossi, V Belov, S Polyakova, SW Hell","Angewandte Chemie International Edition 45 (44), 7462-7465, 2006","167","2006"
"83","Fluorescence lifetime three-dimensional microscopy with picosecond precision using a multifocal multiphoton microscope","M Straub, SW Hell","Applied physics letters 73 (13), 1769-1771, 1998","167","1998"
"84","Olfactory neurons expressing transient receptor potential channel M5 (TRPM5) are involved in sensing semiochemicals","W Lin, R Margolskee, G Donnert, SW Hell, D Restrepo","Proceedings of the National Academy of Sciences 104 (7), 2471-2476, 2007","164","2007"
"85","Phosphatidylinositol 4, 5-bisphosphate clusters act as molecular beacons for vesicle recruitment","A Honigmann, G Van Den Bogaart, E Iraheta, HJ Risselada, ...","Nature structural & molecular biology 20 (6), 679, 2013","163","2013"
"86","Measurement of the 4pi-confocal point spread function proves 75 nm axial resolution","SW Hell, S Lindek, C Cremer, EHK Stelzer","Applied Physics Letters 64 (11), 1335-1337, 1994","163","1994"
"87","Two-color nanoscopy of three-dimensional volumes by 4Pi detection of stochastically switched fluorophores","D Aquino, A Schönle, C Geisler, C v Middendorff, CA Wurm, Y Okamura, ...","Nature methods 8 (4), 353, 2011","162","2011"
"88","Two-color far-field fluorescence nanoscopy based on photoswitchable emitters","H Bock, C Geisler, CA Wurm, C Von Middendorff, S Jakobs, A Schönle, ...","Applied Physics B 88 (2), 161-165, 2007","161","2007"
"89","Multicolor fluorescence nanoscopy in fixed and living cells by exciting conventional fluorophores with a single wavelength","I Testa, CA Wurm, R Medda, E Rothermel, C Von Middendorf, J Fölling, ...","Biophysical journal 99 (8), 2686-2694, 2010","157","2010"
"90","Generation of monomeric reversibly switchable red fluorescent proteins for far-field fluorescence nanoscopy","AC Stiel, M Andresen, H Bock, M Hilbert, J Schilde, A Schönle, ...","Biophysical journal 95 (6), 2989-2997, 2008","156","2008"
"91","Far-field optical imaging and manipulation of individual spins with nanoscale resolution","PC Maurer, JR Maze, PL Stanwix, L Jiang, AV Gorshkov, AA Zibrov, ...","Nature Physics 6 (11), 912, 2010","151","2010"
"92","A rapidly maturing far-red derivative of DsRed-Express2 for whole-cell labeling","RL Strack, B Hein, D Bhattacharyya, SW Hell, RJ Keenan, BS Glick","Biochemistry 48 (35), 8279-8281, 2009","151","2009"
"93","Immunofluorescence stimulated emission depletion microscopy","M Dyba, S Jakobs, SW Hell","Nature biotechnology 21 (11), 1303, 2003","149","2003"
"94","Far-field fluorescence microscopy with three-dimensional resolution in the 100-nm range","SW Hell, M Schrader, HTM Van Der Voort","Journal of microscopy 187 (1), 1-7, 1997","148","1997"
"95","Nonlinear absorption extends confocal fluorescence microscopy into the ultra-violet regime and confines the illumination volume","EHK Stelzer, S Hell, S Lindek, R Stricker, R Pick, C Storz, G Ritter, ...","Optics Communications 104 (4-6), 223-228, 1994","147","1994"
"96","Rhodamines NN: a novel class of caged fluorescent dyes","VN Belov, CA Wurm, VP Boyarskiy, S Jakobs, SW Hell","Angewandte Chemie International Edition 49 (20), 3520-3523, 2010","145","2010"
"97","Three-dimensional stimulated emission depletion microscopy of nitrogen-vacancy centers in diamond using continuous-wave light","KY Han, KI Willig, E Rittweger, F Jelezko, C Eggeling, SW Hell","Nano letters 9 (9), 3323-3329, 2009","145","2009"
"98","rsEGFP2 enables fast RESOLFT nanoscopy of living cells","T Grotjohann, I Testa, M Reuss, T Brakemann, C Eggeling, SW Hell, ...","Elife 1, e00248, 2012","144","2012"
"99","Molecular orientation affects localization accuracy in superresolution far-field fluorescence microscopy","J Engelhardt, J Keller, P Hoyer, M Reuss, T Staudt, SW Hell","Nano letters 11 (1), 209-213, 2010","144","2010"
"100","Stimulated emission depletion live-cell super-resolution imaging shows proliferative remodeling of T-tubule membrane structures after myocardial infarction","E Wagner, MA Lauterbach, T Kohl, V Westphal, GSB Williams, ...","Circulation research 111 (4), 402-414, 2012","143","2012"
"101","STED nanoscopy combined with optical tweezers reveals protein dynamics on densely covered DNA","I Heller, G Sitters, OD Broekmans, G Farge, C Menges, W Wende, ...","Nature methods 10 (9), 910, 2013","142","2013"
"102","Diffraction-unlimited three-dimensional optical nanoscopy with opposing lenses","SW Hell, R Schmidt, A Egner","Nature Photonics 3 (7), 381, 2009","142","2009"
"103","Mitochondrial cristae revealed with focused light","R Schmidt, CA Wurm, A Punge, A Egner, S Jakobs, SW Hell","Nano letters 9 (6), 2508-2510, 2009","142","2009"
"104","Dual-Color STED Microscopy at 30-nm Focal-Plane Resolution","L Meyer, D Wildanger, R Medda, A Punge, SO Rizzoli, G Donnert, ...","Small 4 (8), 1095-1100, 2008","141","2008"
"105","Two-photon excitation 4Pi confocal microscope: Enhanced axial resolution microscope for biological research","PE Hänninen, SW Hell, J Salo, E Soini, C Cremer","Applied physics letters 66 (13), 1698-1700, 1995","138","1995"
"106","Fluorescence microscopy with super-resolved optical sections","A Egner, SW Hell","Trends in cell biology 15 (4), 207-215, 2005","136","2005"
"107","Nanoscopy with focused light (Nobel Lecture)","SW Hell","Angewandte Chemie International Edition 54 (28), 8054-8066, 2015","134","2015"
"108","Photostability of a fluorescent marker under pulsed excited-state depletion through stimulated emission","M Dyba, SW Hell","Applied optics 42 (25), 5123-5129, 2003","133","2003"
"109","A readily retrievable pool of synaptic vesicles","Y Hua, R Sinha, CS Thiel, R Schmidt, J Hüve, H Martens, SW Hell, ...","Nature neuroscience 14 (7), 833, 2011","131","2011"
"110","STED microscopy resolves nanoparticle assemblies","KI Willig, J Keller, M Bossi, SW Hell","New Journal of Physics 8 (6), 106, 2006","129","2006"
"111","Wide-field subdiffraction RESOLFT microscopy using fluorescent protein photoswitching","M A Schwentker, H Bock, M Hofmann, S Jakobs, J Bewersdorf, ...","Microscopy research and technique 70 (3), 269-280, 2007","128","2007"
"112","Nanoscale organization of nicotinic acetylcholine receptors revealed by stimulated emission depletion microscopy","RR Kellner, CJ Baier, KI Willig, SW Hell, FJ Barrantes","Neuroscience 144 (1), 135-143, 2007","128","2007"
"113","Fast STED microscopy with continuous wave fiber lasers","G Moneron, R Medda, B Hein, A Giske, V Westphal, SW Hell","Optics express 18 (2), 1302-1309, 2010","127","2010"
"114","Two-photon near-and far-field fluorescence microscopy with continuous-wave excitation","SW Hell, M Booth, S Wilms, CM Schnetter, AK Kirsch, DJ Arndt-Jovin, ...","Optics letters 23 (15), 1238-1240, 1998","127","1998"
"115","SiR–Hoechst is a far-red DNA stain for live-cell nanoscopy","G Lukinavicius, C Blaukopf, E Pershagen, A Schena, L Reymond, ...","Nature communications 6, 8497, 2015","124","2015"
"116","Multi-protein assemblies underlie the mesoscale organization of the plasma membrane","SK Saka, A Honigmann, C Eggeling, SW Hell, T Lang, SO Rizzoli","Nature communications 5, 4509, 2014","124","2014"
"117","A lipid bound actin meshwork organizes liquid phase separation in model membranes","A Honigmann, S Sadeghi, J Keller, SW Hell, C Eggeling, R Vink","Elife 3, e01671, 2014","124","2014"
"118","Analytical description of STED microscopy performance","M Leutenegger, C Eggeling, SW Hell","Optics express 18 (25), 26417-26429, 2010","124","2010"
"119","Endosomal sorting of readily releasable synaptic vesicles","P Hoopmann, A Punge, SV Barysch, V Westphal, J Bückers, F Opazo, ...","Proceedings of the National Academy of Sciences 107 (44), 19055-19060, 2010","124","2010"
"120","Stimulated emission depletion nanoscopy of living cells using SNAP-tag fusion proteins","B Hein, KI Willig, CA Wurm, V Westphal, S Jakobs, SW Hell","Biophysical journal 98 (1), 158-163, 2010","123","2010"
"121","Solid Immersion Facilitates Fluorescence Microscopy with Nanometer Resolution and Sub-Ångström Emitter Localization","D Wildanger, BR Patton, H Schill, L Marseglia, JP Hadden, S Knauer, ...","Advanced Materials 24 (44), OP309-OP313, 2012","122","2012"
"122","Myelin basic protein-dependent plasma membrane reorganization in the formation of myelin","D Fitzner, A Schneider, A Kippert, W Möbius, KI Willig, SW Hell, G Bunt, ...","The EMBO journal 25 (21), 5037-5048, 2006","122","2006"
"123","Metastable dark states enable ground state depletion microscopy of nitrogen vacancy centers in diamond with diffraction-unlimited resolution","KY Han, SK Kim, C Eggeling, SW Hell","Nano letters 10 (8), 3199-3203, 2010","120","2010"
"124","STED nanoscopy with time-gated detection: theoretical and experimental aspects","G Vicidomini, A Schönle, H Ta, KY Han, G Moneron, C Eggeling, SW Hell","PLoS One 8 (1), e54421, 2013","119","2013"
"125","Nanoscopy of living brain slices with low light levels","I Testa, NT Urban, S Jakobs, C Eggeling, KI Willig, SW Hell","Neuron 75 (6), 992-1000, 2012","119","2012"
"126","Cooperative 4Pi excitation and detection yields sevenfold sharper optical sections in live-cell microscopy","H Gugel, J Bewersdorf, S Jakobs, J Engelhardt, R Storz, SW Hell","Biophysical journal 87 (6), 4146-4152, 2004","118","2004"
"127","Far-field fluorescence nanoscopy of diamond color centers by ground state depletion","E Rittweger, D Wildanger, SW Hell","Epl 86 (1), 14001, 2009","113","2009"
"128","Efficient fluorescence inhibition patterns for RESOLFT microscopy","J Keller, A Schönle, SW Hell","Optics express 15 (6), 3361-3371, 2007","111","2007"
"129","Comparison of the axial resolution of practical Nipkow-disk confocal fluorescence microscopy with that of multifocal multiphoton microscopy: Theory and experiment","A Egner, V Andresen, SW Hell","Journal of microscopy 206 (1), 24-32, 2002","111","2002"
"130","Rhodamine Spiroamides for Multicolor Single-Molecule Switching Fluorescent Nanoscopy","VN Belov, ML Bossi, J Fölling, VP Boyarskiy, SW Hell","Chemistry-A European Journal 15 (41), 10762-10776, 2009","110","2009"
"131","Direct light-driven modulation of luminescence from Mn-doped ZnSe quantum dots","SE Irvine, T Staudt, E Rittweger, J Engelhardt, SW Hell","Angewandte Chemie International Edition 47 (14), 2685-2688, 2008","110","2008"
"132","Comparison of I5M and 4Pi-microscopy","J Bewersdorf, R Schmidt, SW Hell","Journal of microscopy 222 (2), 105-117, 2006","110","2006"
"133","Room temperature high-fidelity holonomic single-qubit gate on a solid-state spin","S Arroyo-Camejo, A Lazariev, SW Hell, G Balasubramanian","Nature communications 5, 4870, 2014","109","2014"
"134","Nanoscale distribution of mitochondrial import receptor Tom20 is adjusted to cellular conditions and exhibits an inner-cellular gradient","CA Wurm, D Neumann, MA Lauterbach, B Harke, A Egner, SW Hell, ...","Proceedings of the National Academy of Sciences 108 (33), 13546-13551, 2011","109","2011"
"135","Lateral resolution of 28 nm (<U+03BB>/25) in far-field fluorescence microscopy","V Westphal, L Kastrup, SW Hell","Applied Physics B 77 (4), 377-380, 2003","109","2003"
"136","Limited intermixing of synaptic vesicle components upon vesicle recycling","F Opazo, A Punge, J Bückers, P Hoopmann, L Kastrup, SW Hell, ...","Traffic 11 (6), 800-812, 2010","108","2010"
"137","Two-color STED microscopy reveals different degrees of colocalization between hexokinase-I and the three human VDAC isoforms","D Neumann, J Bückers, L Kastrup, SW Hell, S Jakobs","PMC biophysics 3 (1), 4, 2010","107","2010"
"138","Increasing the resolution of far-field fluorescence light microscopy by point-spread-function engineering","SW Hell","Topics in fluorescence spectroscopy, 361-426, 2002","105","2002"
"139","Parallelized STED fluorescence nanoscopy","P Bingen, M Reuss, J Engelhardt, SW Hell","Optics express 19 (24), 23716-23726, 2011","104","2011"
"140","Resolution of <U+03BB>/10 in fluorescence microscopy using fast single molecule photo-switching","C Geisler, A Schönle, C Von Middendorff, H Bock, C Eggeling, A Egner, ...","Applied Physics A 88 (2), 223-226, 2007","103","2007"
"141","STED nanoscopy with fluorescent quantum dots","J Hanne, HJ Falk, F Görlitz, P Hoyer, J Engelhardt, SJ Sahl, SW Hell","Nature communications 6, 7127, 2015","102","2015"
"142","Three-dimensional organization of promyelocytic leukemia nuclear bodies","M Lang, T Jegou, I Chung, K Richter, S Münch, A Udvarhelyi, C Cremer, ...","J Cell Sci 123 (3), 392-400, 2010","102","2010"
"143","Enhancing the axial resolution in far-field light microscopy: two-photon 4Pi confocal fluorescence microscopy","SW Hell, S Lindek, EHK Stelzer","Taylor & Francis Group 41 (4), 675-681, 1994","101","1994"
"144","Single-Molecule STED Microscopy with Photostable Organic Fluorophores","R Kasper, B Harke, C Forthmann, P Tinnefeld, SW Hell, M Sauer","Small 6 (13), 1379-1384, 2010","100","2010"
"145","Coherent use of opposing lenses for axial resolution increase in fluorescence microscopy. I. Comparative study of concepts","M Nagorni, SW Hell","JOSA A 18 (1), 36-48, 2001","100","2001"
"146","Lens-based fluorescence nanoscopy","C Eggeling, KI Willig, SJ Sahl, SW Hell","Quarterly reviews of biophysics 48 (2), 178-243, 2015","99","2015"
"147","CRISPR/Cas9-mediated endogenous protein tagging for RESOLFT super-resolution microscopy of living human cells","M Ratz, I Testa, SW Hell, S Jakobs","Scientific reports 5, 9592, 2015","98","2015"
"148","STED microscopy detects and quantifies liquid phase separation in lipid membranes using a new far-red emitting fluorescent phosphoglycerolipid analogue","A Honigmann, V Mueller, SW Hell, C Eggeling","Faraday discussions 161, 77-89, 2013","98","2013"
